iter	TotalF1	MultiClass
190	0.548836929	0.9311040509
191	0.5489746026	0.9309306134
192	0.5490591729	0.930623206
193	0.5491847835	0.930462037
194	0.5493332384	0.9302704861
195	0.5494135297	0.9301157407
196	0.5494913994	0.9299557292
197	0.549680638	0.9297718171
198	0.5501903946	0.9295655671
199	0.5500846166	0.9293464699
200	0.550084417	0.9291963542
201	0.5501226352	0.9289364583
202	0.5503719334	0.9285758102
203	0.5504887732	0.9284145255
204	0.5508638231	0.9281236111
205	0.5510398449	0.9278990162
206	0.5513415372	0.9276518519
207	0.5514223213	0.9274406829
208	0.5517497211	0.9271804398
209	0.5520974167	0.9269891204
210	0.5521722549	0.9267708912
211	0.5523708957	0.926564294
212	0.5528666936	0.9263221065
213	0.5529157465	0.926162037
214	0.5532285621	0.9259697917
215	0.5532632477	0.9257633102
216	0.5534940297	0.9255869792
217	0.5535163496	0.9253436343
218	0.5536052596	0.9251658565
219	0.5538809536	0.925014294
220	0.5538781204	0.924837037
221	0.5540457237	0.924570544
222	0.5539892751	0.9243584491
223	0.5541763481	0.9242353009
224	0.5543828915	0.9239980903
225	0.5548395685	0.9237631366
226	0.5548306365	0.9235225694
227	0.5549086279	0.9234020833
228	0.5548460763	0.9232248264
229	0.5549583775	0.923001331
230	0.555187102	0.9227289352
231	0.5555910879	0.9224609954
232	0.5556285816	0.9222876157
233	0.55595573	0.9221028935
234	0.5558041874	0.9219904514
235	0.5559675015	0.921779919
236	0.5560826982	0.9215403935
237	0.5562455467	0.9213436343
238	0.5564986182	0.921125
239	0.5566692333	0.9209128472
240	0.5566681215	0.9207479745
241	0.5568441941	0.9205818866
242	0.5568201775	0.9203634259
243	0.5568822492	0.9201862269
244	0.5568347083	0.9200335069
245	0.5569688409	0.9198375579
246	0.5568987616	0.919661169
247	0.5568771983	0.9195460648
248	0.5569937667	0.9193987847
249	0.5570998106	0.9191778935
250	0.5572404974	0.9190653356
251	0.5573543104	0.9189256944
252	0.5574871275	0.9187534144
253	0.5576253734	0.918603125
254	0.5577150302	0.9183528356
255	0.5579677731	0.9181630208
256	0.5579769232	0.917978588
257	0.5579306743	0.9178252894
258	0.5580367165	0.9176559028
259	0.5581900718	0.9175283565
260	0.5581563559	0.9172872685
261	0.5582345641	0.917173206
262	0.5586369134	0.9169487847
263	0.5588773204	0.9167076389
264	0.559025248	0.9166027199
265	0.5590249481	0.916374537
266	0.5590165439	0.9162300926
267	0.5590440085	0.9160926505
268	0.5591817724	0.9159934028
269	0.5593047768	0.9158678241
270	0.5593652886	0.9156866319
271	0.5594442895	0.9155349537
272	0.5597497263	0.9153576389
273	0.559931455	0.9151608218
274	0.5600422321	0.915013831
275	0.5600935286	0.9149165509
276	0.5601896495	0.9147369792
277	0.56054633	0.9145305556
278	0.560487062	0.9144114005
279	0.5605393939	0.9142634838
280	0.560587287	0.9141477431
281	0.5606952055	0.9140278935
282	0.5606477016	0.9139472222
283	0.5609376098	0.913800463
284	0.5609367345	0.9137007523
285	0.5608876741	0.9135855324
286	0.5609647425	0.9133658565
287	0.5610867291	0.9131162037
288	0.5614012751	0.9129372106
289	0.5613155425	0.9128315394
